;Baden-Württemberg;;Bayern;;Berlin;;Brandenburg;;Bremen;;Hamburg;;Hessen;;Mecklenburg-Vorpommern;;Niedersachsen;;Nordrhein-Westfalen;;Rheinland-Pfalz;;Saarland;;Sachsen;;Sachsen-Anhalt;;Schleswig-Holstein;;Thüringen;
2005;79,5;e;78,6;e;79,5;e;89,6;e;74,3;e;-;;81,8;e;89,5;e;83,7;e;83,4;e;85,2;e;88,7;e;93,2;e;89,0;e;-;;86,2;e
2006;80,5;e;80,2;e;80,6;e;90,1;e;75,6;e;-;;82,8;e;89,7;e;84,2;e;84,3;e;85,8;e;89,5;e;93,4;e;89,2;e;-;;86,5;e
2007;81,8;e;81,7;e;80,9;e;90,5;e;76,0;e;-;;83,7;e;90,0;e;85,2;e;85,1;e;86,6;e;90,3;e;93,7;e;89,8;e;-;;87,1;e
2008;83,3;e;83,1;e;82,6;e;90,8;e;77,1;e;-;;84,9;e;90,6;e;86,1;e;85,8;e;87,8;e;90,8;e;93,8;e;90,4;e;-;;88,8;e
2009;84,3;e;84,5;e;84,0;e;91,0;e;78,3;e;-;;86,0;e;91,2;e;86,9;e;86,7;e;88,4;e;90,9;e;94,1;e;91,0;e;-;;89,0;e
2010;85,4;e;85,9;e;85,2;e;91,5;e;79,6;e;-;;86,9;e;91,7;e;87,7;e;87,8;e;89,1;e;91,5;e;94,4;e;91,7;e;-;;89,4;e
2011;86,5;e;87,0;e;86,6;e;92,0;e;82,4;e;-;;88,0;e;92,5;e;88,7;e;89,3;e;90,0;e;92,1;e;94,7;e;92,2;e;-;;90,0;e
2012;87,3;e;88,2;e;88,1;e;92,6;e;84,1;e;-;;89,3;e;93,0;e;89,6;e;90,5;e;90,9;e;92,8;e;95,1;e;92,8;e;-;;90,6;e
2013;88,3;e;89,3;e;90,3;e;93,3;e;85,3;e;-;;90,6;e;93,5;e;91,0;e;91,9;e;92,1;e;93,4;e;95,4;e;93,4;e;-;;91,1;e
2014;89,7;e;90,7;e;91,7;e;94,2;e;88,2;e;-;;92,0;e;94,0;e;92,5;e;93,6;e;93,4;e;94,1;e;95,9;e;94,1;e;-;;91,8;e
2015;91,4;e;92,1;e;92,7;e;94,5;e;90,1;e;94,5;e;93,3;e;94,6;e;93,6;e;94,5;e;94,4;e;94,9;e;96,7;e;94,8;e;94,4;e;92,9;e
2016;92,7;e;93,6;e;93,9;e;94,9;e;92,0;e;95,9;e;94,5;e;95,3;e;94,6;e;95,4;e;94,9;e;95,7;e;96,9;e;95,9;e;95,4;e;93,6;e
2017;94,3;e;95,1;e;95,8;e;96,1;e;93,3;e;97,7;e;95,5;e;97,1;e;96,1;e;96,7;e;95,8;e;96,4;e;97,4;e;96,4;e;96,2;e;94,3;e
2018;96,0;e;96,9;e;97,9;e;97,4;e;94,7;e;98,5;e;97,2;e;97,9;e;97,6;e;98,0;e;97,0;e;97,2;e;98,3;e;97,2;e;97,3;e;95,1;e
2019;97,7;e;98,4;e;99,3;e;98,8;e;96,4;e;99,2;e;98,7;e;99,0;e;99,0;e;99,2;e;98,7;e;98,6;e;99,4;e;98,4;e;98,4;e;96,2;e
2020;100,0;e;100,0;e;100,0;e;100,0;e;100,0;e;100,0;e;100,0;e;100,0;e;100,0;e;100,0;e;100,0;e;100,0;e;100,0;e;100,0;e;100,0;e;100,0;e
2021;101,9;e;101,4;e;100,0;e;101,3;e;104,2;e;100,6;e;100,7;e;100,8;e;101,2;e;101,2;e;100,7;e;101,2;e;101,5;e;100,7;e;101,2;e;101,6;e
2022;103,9;e;103,5;e;102,7;e;102,0;e;105,6;e;102,1;e;102,7;e;101,9;e;102,2;e;102,6;e;102,8;e;102,3;e;102,5;e;101,1;e;102,9;e;102,4;e
2023;108,0;e;106,2;e;104,4;e;104,2;e;108,5;e;103,6;e;105,1;e;103,1;e;103,9;e;104,1;e;104,3;e;103,7;e;103,8;e;101,4;e;104,4;e;102,9;e
2024;110,0;e;109,3;e;106,9;e;106,7;e;111,1;e;104,9;e;107,1;e;103,8;e;105,9;e;105,8;e;107,4;e;105,5;e;105,9;e;104,4;e;106,5;e;103,9;e

