;Baden-Württemberg;;Bayern;;Berlin;;Brandenburg;;Bremen;;Hamburg;;Hessen;;Mecklenburg-Vorpommern;;Niedersachsen;;Nordrhein-Westfalen;;Rheinland-Pfalz;;Saarland;;Sachsen;;Sachsen-Anhalt;;Schleswig-Holstein;;Thüringen;
1995;70,5;e;69,5;e;73,6;e;72,0;e;-;;-;;73,6;e;71,3;e;70,9;e;70,9;e;72,3;e;72,7;e;70,0;e;70,9;e;-;;70,7;e
1996;71,3;e;70,4;e;74,4;e;73,0;e;-;;-;;74,4;e;72,5;e;72,2;e;71,9;e;73,5;e;73,6;e;71,5;e;72,3;e;-;;72,1;e
1997;72,5;e;71,7;e;75,5;e;74,4;e;-;;-;;75,6;e;73,7;e;73,5;e;73,4;e;74,9;e;74,9;e;73,2;e;74,0;e;-;;73,7;e
1998;73,2;e;72,4;e;75,8;e;75,0;e;-;;-;;76,6;e;74,7;e;74,2;e;74,0;e;75,5;e;75,4;e;74,0;e;74,9;e;-;;74,5;e
1999;73,6;e;72,9;e;75,8;e;75,2;e;-;;-;;77,2;e;74,9;e;74,9;e;74,6;e;75,8;e;75,8;e;74,3;e;75,3;e;-;;74,9;e
2000;74,9;e;74,0;e;76,7;e;76,4;e;-;;-;;78,4;e;75,7;e;76,4;e;75,7;e;76,8;e;76,6;e;75,4;e;76,4;e;-;;75,6;e
2001;76,6;e;75,5;e;77,7;e;78,0;e;-;;-;;79,7;e;76,9;e;78,1;e;77,2;e;78,3;e;77,8;e;76,7;e;77,9;e;-;;77,4;e
2002;77,8;e;76,7;e;78,6;e;79,0;e;-;;-;;80,7;e;77,3;e;79,1;e;78,3;e;79,4;e;78,8;e;77,4;e;78,7;e;-;;78,3;e
2003;79,0;e;77,7;e;78,9;e;79,7;e;-;;-;;81,4;e;77,8;e;79,8;e;79,1;e;80,1;e;79,6;e;78,0;e;79,3;e;-;;79,3;e
2004;80,4;e;79,2;e;80,5;e;81,2;e;-;;-;;82,6;e;78,9;e;81,3;e;80,4;e;81,4;e;81,0;e;79,2;e;80,9;e;-;;80,5;e
2005;81,4;e;80,6;e;81,6;e;82,6;e;82,2;e;-;;83,6;e;80,0;e;82,4;e;81,7;e;82,7;e;82,3;e;80,4;e;82,0;e;-;;81,8;e
2006;82,8;e;82,1;e;82,9;e;84,1;e;83,6;e;-;;84,7;e;81,1;e;83,6;e;82,8;e;83,8;e;83,6;e;82,0;e;83,1;e;-;;83,2;e
2007;84,6;e;84,0;e;84,4;e;85,8;e;85,1;e;-;;86,6;e;83,4;e;85,5;e;84,6;e;85,6;e;85,5;e;84,2;e;84,8;e;-;;84,8;e
2008;86,8;e;86,2;e;86,4;e;87,9;e;87,2;e;-;;89,1;e;86,0;e;87,9;e;86,7;e;87,7;e;87,9;e;86,4;e;87,1;e;-;;86,7;e
2009;87,1;e;86,7;e;86,6;e;87,9;e;86,9;e;-;;88,9;e;86,5;e;88,1;e;86,9;e;87,6;e;88,0;e;86,6;e;87,2;e;-;;86,7;e
2010;88,0;e;87,6;e;87,7;e;88,7;e;87,5;e;-;;89,6;e;87,5;e;89,2;e;87,8;e;88,5;e;88,6;e;87,6;e;88,2;e;-;;87,5;e
2011;89,8;e;89,5;e;89,7;e;90,4;e;89,6;e;-;;91,3;e;89,5;e;91,0;e;89,7;e;90,3;e;90,6;e;89,4;e;89,9;e;-;;89,3;e
2012;91,4;e;91,4;e;91,8;e;92,1;e;91,6;e;-;;93,1;e;91,1;e;92,7;e;91,4;e;92,3;e;92,5;e;91,1;e;91,6;e;-;;91,1;e
2013;92,6;e;92,7;e;93,8;e;93,4;e;92,7;e;-;;94,3;e;92,6;e;94,2;e;92,9;e;93,7;e;93,6;e;92,6;e;93,0;e;-;;92,3;e
2014;93,4;e;93,4;e;94,5;e;94,3;e;93,7;e;-;;95,1;e;93,4;e;95,0;e;94,0;e;94,5;e;94,5;e;93,4;e;94,1;e;-;;92,9;e
2015;94,0;e;94,1;e;94,6;e;94,6;e;94,2;e;94,8;e;95,4;e;93,9;e;95,3;e;94,5;e;94,9;e;94,9;e;94,1;e;94,8;e;94,8;e;93,7;e
2016;94,5;e;94,6;e;95,3;e;95,0;e;95,0;e;95,5;e;95,7;e;94,5;e;95,5;e;95,0;e;95,2;e;95,2;e;94,5;e;95,2;e;95,2;e;94,3;e
2017;96,0;e;96,1;e;96,6;e;96,4;e;96,3;e;97,2;e;97,0;e;96,3;e;96,8;e;96,4;e;96,5;e;96,6;e;96,1;e;96,5;e;96,6;e;95,7;e
2018;97,9;e;98,0;e;98,3;e;98,0;e;97,7;e;98,6;e;98,5;e;97,8;e;98,3;e;98,0;e;98,1;e;98,3;e;97,7;e;98,0;e;98,1;e;97,4;e
2019;99,4;e;99,5;e;99,6;e;99,5;e;99,3;e;99,8;e;99,8;e;99,4;e;99,6;e;99,5;e;99,4;e;99,6;e;99,1;e;99,5;e;99,3;e;98,8;e
2020;100,0;e;100,0;e;100,0;e;100,0;e;100,0;e;100,0;e;100,0;e;100,0;e;100,0;e;100,0;e;100,0;e;100,0;e;100,0;e;100,0;e;100,0;e;100,0;e
2021;103,0;e;103,2;e;102,8;e;103,4;e;103,8;e;102,9;e;102,8;e;103,2;e;103,0;e;103,1;e;103,0;e;102,9;e;103,2;e;103,2;e;103,0;e;103,2;e
2022;109,5;e;110,5;e;110,1;e;110,7;e;113,0;e;109,1;e;109,8;e;111,0;e;110,0;e;110,4;e;109,8;e;109,2;e;110,3;e;110,7;e;109,4;e;110,9;e
2023;116,4;e;117,0;e;116,9;e;117,9;e;117,8;e;115,2;e;116,2;e;118,1;e;116,7;e;116,6;e;116,2;e;115,5;e;117,5;e;117,3;e;116,0;e;117,8;e
2024;119,0;e;119,9;e;118,8;e;120,8;e;120,3;e;117,2;e;118,3;e;120,5;e;119,2;e;119,2;e;119,2;e;118,6;e;120,9;e;120,2;e;118,8;e;120,4;e
